Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
10:59:54:963926,-9403,7090,-684,11370,1069,-1138,1302,-48,55,-72
10:59:54:970094,-9403,7090,-684,11370,1069,-1138,1302,-48,55,-72
10:59:54:977548,-9403,7090,-684,11370,1069,-1138,1302,-48,55,-72
10:59:54:984999,-9394,7083,-690,11381,1079,-1126,1270,-20,60,-68
10:59:54:992894,-9394,7083,-690,11381,1079,-1126,1270,-20,60,-68
10:59:55:433,-9394,7083,-690,11381,1079,-1126,1270,-20,60,-68
10:59:55:8501,-9386,7075,-696,11393,1085,-1113,1255,-16,71,-62
10:59:55:8975,-9386,7075,-696,11393,1085,-1113,1255,-16,71,-62
10:59:55:23570,-9386,7075,-696,11393,1085,-1113,1255,-16,71,-62
10:59:55:24002,-9377,7065,-704,11405,1101,-1137,1280,-16,88,-63
10:59:55:30456,-9377,7065,-704,11405,1101,-1137,1280,-16,88,-63
10:59:55:37727,-9377,7065,-704,11405,1101,-1137,1280,-16,88,-63
10:59:55:45707,-9366,7057,-714,11419,1126,-1148,1281,-36,99,-64
10:59:55:53137,-9366,7057,-714,11419,1126,-1148,1281,-36,99,-64
10:59:55:60147,-9366,7057,-714,11419,1126,-1148,1281,-36,99,-64
10:59:55:67532,-9353,7050,-730,11433,1121,-1147,1289,-65,109,-67
10:59:55:74830,-9353,7050,-730,11433,1121,-1147,1289,-65,109,-67
10:59:55:83055,-9353,7050,-730,11433,1121,-1147,1289,-65,109,-67
10:59:55:83846,-9338,7046,-748,11446,1105,-1134,1275,-90,104,-59
10:59:55:89930,-9338,7046,-748,11446,1105,-1134,1275,-90,104,-59
10:59:55:105601,-9338,7046,-748,11446,1105,-1134,1275,-90,104,-59
10:59:55:106879,-9325,7043,-769,11458,1084,-1143,1305,-107,91,-49
10:59:55:113047,-9325,7043,-769,11458,1084,-1143,1305,-107,91,-49
10:59:55:120274,-9325,7043,-769,11458,1084,-1143,1305,-107,91,-49
10:59:55:127609,-9317,7036,-784,11467,1070,-1120,1300,-64,75,-35
10:59:55:134950,-9317,7036,-784,11467,1070,-1120,1300,-64,75,-35
10:59:55:143147,-9317,7036,-784,11467,1070,-1120,1300,-64,75,-35
10:59:55:143950,-9312,7028,-794,11476,1062,-1105,1318,-45,59,-27
10:59:55:149949,-9312,7028,-794,11476,1062,-1105,1318,-45,59,-27
10:59:55:165404,-9312,7028,-794,11476,1062,-1105,1318,-45,59,-27
10:59:55:173703,-9308,7021,-803,11483,1059,-1114,1318,-38,43,-29
10:59:55:173882,-9308,7021,-803,11483,1059,-1114,1318,-38,43,-29
10:59:55:180336,-9308,7021,-803,11483,1059,-1114,1318,-38,43,-29
10:59:55:195869,-9305,7012,-806,11490,1067,-1104,1339,-19,31,-27
10:59:55:196745,-9305,7012,-806,11490,1067,-1104,1339,-19,31,-27
10:59:55:203673,-9305,7012,-806,11490,1067,-1104,1339,-19,31,-27
10:59:55:203883,-9303,7004,-809,11496,1052,-1102,1333,-14,21,-26
10:59:55:210537,-9303,7004,-809,11496,1052,-1102,1333,-14,21,-26
10:59:55:226221,-9303,7004,-809,11496,1052,-1102,1333,-14,21,-26
10:59:55:226432,-9304,6994,-812,11502,1025,-1111,1346,-3,14,-26
10:59:55:233009,-9304,6994,-812,11502,1025,-1111,1346,-3,14,-26
10:59:55:240343,-9304,6994,-812,11502,1025,-1111,1346,-3,14,-26
10:59:55:247984,-9307,6984,-813,11506,1016,-1125,1357,15,-3,-23
10:59:55:254997,-9307,6984,-813,11506,1016,-1125,1357,15,-3,-23
10:59:55:263697,-9307,6984,-813,11506,1016,-1125,1357,15,-3,-23
10:59:55:263917,-9312,6975,-808,11507,1016,-1128,1328,48,-22,-16
10:59:55:270509,-9312,6975,-808,11507,1016,-1128,1328,48,-22,-16
10:59:55:286220,-9312,6975,-808,11507,1016,-1128,1328,48,-22,-16
10:59:55:286451,-9320,6968,-801,11505,1031,-1147,1334,61,-41,-12
10:59:55:292533,-9320,6968,-801,11505,1031,-1147,1334,61,-41,-12
10:59:55:300538,-9320,6968,-801,11505,1031,-1147,1334,61,-41,-12
10:59:55:308054,-9327,6965,-793,11502,1064,-1171,1326,60,-47,-7
10:59:55:315250,-9327,6965,-793,11502,1064,-1171,1326,60,-47,-7
10:59:55:323694,-9327,6965,-793,11502,1064,-1171,1326,60,-47,-7
10:59:55:323902,-9333,6964,-783,11498,1084,-1180,1326,62,-56,-9
10:59:55:330042,-9333,6964,-783,11498,1084,-1180,1326,62,-56,-9
10:59:55:346128,-9333,6964,-783,11498,1084,-1180,1326,62,-56,-9
10:59:55:346529,-9338,6969,-774,11492,1110,-1180,1312,45,-68,2
10:59:55:352472,-9338,6969,-774,11492,1110,-1180,1312,45,-68,2
10:59:55:359961,-9338,6969,-774,11492,1110,-1180,1312,45,-68,2
10:59:55:367633,-9344,6975,-767,11484,1106,-1164,1291,33,-69,16
10:59:55:374928,-9344,6975,-767,11484,1106,-1164,1291,33,-69,16
10:59:55:383394,-9344,6975,-767,11484,1106,-1164,1291,33,-69,16
10:59:55:384106,-9351,6982,-760,11474,1111,-1138,1271,32,-66,37
10:59:55:390070,-9351,6982,-760,11474,1111,-1138,1271,32,-66,37
10:59:55:405720,-9351,6982,-760,11474,1111,-1138,1271,32,-66,37
10:59:55:406606,-9361,6985,-755,11464,1087,-1111,1258,36,-56,55
10:59:55:412565,-9361,6985,-755,11464,1087,-1111,1258,36,-56,55
10:59:55:419896,-9361,6985,-755,11464,1087,-1111,1258,36,-56,55
10:59:55:427646,-9373,6987,-751,11454,1086,-1112,1248,38,-46,66
10:59:55:435073,-9373,6987,-751,11454,1086,-1112,1248,38,-46,66
10:59:55:443296,-9373,6987,-751,11454,1086,-1112,1248,38,-46,66
10:59:55:444143,-9384,6989,-749,11444,1077,-1115,1256,33,-38,62
10:59:55:449964,-9384,6989,-749,11444,1077,-1115,1256,33,-38,62
10:59:55:466453,-9384,6989,-749,11444,1077,-1115,1256,33,-38,62
10:59:55:467213,-9394,6990,-747,11435,1088,-1131,1268,33,-36,59
10:59:55:472628,-9394,6990,-747,11435,1088,-1131,1268,33,-36,59
10:59:55:480172,-9394,6990,-747,11435,1088,-1131,1268,33,-36,59
10:59:55:487776,-9404,6990,-747,11427,1084,-1127,1294,18,-33,55
10:59:55:495202,-9404,6990,-747,11427,1084,-1127,1294,18,-33,55
10:59:55:503358,-9404,6990,-747,11427,1084,-1127,1294,18,-33,55
10:59:55:504187,-9413,6991,-751,11418,1073,-1147,1311,-1,-37,57
10:59:55:510374,-9413,6991,-751,11418,1073,-1147,1311,-1,-37,57
10:59:55:525613,-9413,6991,-751,11418,1073,-1147,1311,-1,-37,57
10:59:55:533424,-9424,6993,-753,11408,1056,-1126,1328,-6,-56,67
10:59:55:534198,-9424,6993,-753,11408,1056,-1126,1328,-6,-56,67
10:59:55:540186,-9424,6993,-753,11408,1056,-1126,1328,-6,-56,67
10:59:55:547646,-9438,6994,-752,11396,1041,-1129,1345,12,-80,76
10:59:55:555218,-9438,6994,-752,11396,1041,-1129,1345,12,-80,76
10:59:55:563153,-9438,6994,-752,11396,1041,-1129,1345,12,-80,76
10:59:55:564247,-9458,6993,-746,11380,1028,-1118,1357,43,-104,92
10:59:55:570597,-9458,6993,-746,11380,1028,-1118,1357,43,-104,92
10:59:55:585829,-9458,6993,-746,11380,1028,-1118,1357,43,-104,92
10:59:55:586426,-9479,6992,-733,11364,1046,-1109,1356,71,-123,93
10:59:55:600968,-9479,6992,-733,11364,1046,-1109,1356,71,-123,93
10:59:55:601530,-9479,6992,-733,11364,1046,-1109,1356,71,-123,93
10:59:55:607883,-9500,6994,-715,11347,1083,-1114,1360,79,-137,91
10:59:55:614931,-9500,6994,-715,11347,1083,-1114,1360,79,-137,91
10:59:55:623297,-9500,6994,-715,11347,1083,-1114,1360,79,-137,91
10:59:55:624113,-9518,6999,-699,11330,1106,-1139,1330,72,-133,85
10:59:55:630143,-9518,6999,-699,11330,1106,-1139,1330,72,-133,85
10:59:55:645731,-9518,6999,-699,11330,1106,-1139,1330,72,-133,85
10:59:55:646596,-9535,7004,-683,11314,1117,-1129,1302,76,-113,83
10:59:55:652375,-9535,7004,-683,11314,1117,-1129,1302,76,-113,83
10:59:55:660463,-9535,7004,-683,11314,1117,-1129,1302,76,-113,83
10:59:55:667626,-9551,7006,-667,11299,1120,-1107,1283,82,-95,83
10:59:55:675014,-9551,7006,-667,11299,1120,-1107,1283,82,-95,83
10:59:55:683527,-9551,7006,-667,11299,1120,-1107,1283,82,-95,83
10:59:55:684071,-9564,7014,-657,11284,1129,-1122,1250,51,-83,83
10:59:55:690045,-9564,7014,-657,11284,1129,-1122,1250,51,-83,83
10:59:55:705800,-9564,7014,-657,11284,1129,-1122,1250,51,-83,83
10:59:55:706629,-9578,7021,-648,11268,1137,-1134,1247,52,-76,90
10:59:55:712437,-9578,7021,-648,11268,1137,-1134,1247,52,-76,90
10:59:55:720152,-9578,7021,-648,11268,1137,-1134,1247,52,-76,90
10:59:55:727604,-9592,7026,-639,11253,1145,-1122,1232,57,-63,96
10:59:55:735005,-9592,7026,-639,11253,1145,-1122,1232,57,-63,96
10:59:55:743260,-9592,7026,-639,11253,1145,-1122,1232,57,-63,96
10:59:55:744079,-9603,7034,-635,11239,1156,-1114,1225,22,-49,95
10:59:55:750057,-9603,7034,-635,11239,1156,-1114,1225,22,-49,95
10:59:55:765785,-9603,7034,-635,11239,1156,-1114,1225,22,-49,95
10:59:55:766572,-9611,7043,-636,11227,1144,-1131,1245,-5,-38,84
10:59:55:772516,-9611,7043,-636,11227,1144,-1131,1245,-5,-38,84
10:59:55:780018,-9611,7043,-636,11227,1144,-1131,1245,-5,-38,84
10:59:55:787932,-9620,7047,-637,11217,1123,-1135,1289,-7,-38,75
10:59:55:794968,-9620,7047,-637,11217,1123,-1135,1289,-7,-38,75
10:59:55:803317,-9620,7047,-637,11217,1123,-1135,1289,-7,-38,75
10:59:55:804134,-9628,7051,-639,11207,1107,-1127,1313,-19,-48,70
10:59:55:810122,-9628,7051,-639,11207,1107,-1127,1313,-19,-48,70
10:59:55:825758,-9637,7053,-638,11198,1087,-1112,1329,-9,-57,64
