Time,FT1,FT2,FT3,FT4,FT5,FT6
11:00:14:178237,0,0,0,0,0,0
11:00:14:183499,0,0,0,0,0,0
11:00:14:188700,0,0,0,0,0,0
11:00:14:193795,0,0,0,0,0,0
11:00:14:198962,0,0,0,0,0,0
11:00:14:204068,0,0,0,0,0,0
11:00:14:209210,0,0,0,0,0,0
11:00:14:214332,0,0,0,0,0,0
11:00:14:219871,0,0,0,0,0,0
11:00:14:225433,0,0,0,0,0,0
11:00:14:230786,0,0,0,0,0,0
11:00:14:236333,0,0,0,0,0,0
11:00:14:241910,0,0,0,0,0,0
11:00:14:247342,0,0,0,0,0,0
11:00:14:252930,0,0,0,0,0,0
11:00:14:258157,0,0,0,0,0,0
11:00:14:263593,0,0,0,0,0,0
11:00:14:268679,0,0,0,0,0,0
11:00:14:273786,0,0,0,0,0,0
11:00:14:278963,0,0,0,0,0,0
11:00:14:284049,0,0,0,0,0,0
11:00:14:289129,0,0,0,0,0,0
11:00:14:294207,0,0,0,0,0,0
11:00:14:299749,0,0,0,0,0,0
11:00:14:304837,0,0,0,0,0,0
11:00:14:309921,0,0,0,0,0,0
11:00:14:315019,0,0,0,0,0,0
11:00:14:320198,0,0,0,0,0,0
11:00:14:325290,0,0,0,0,0,0
11:00:14:330402,0,0,0,0,0,0
11:00:14:335586,0,0,0,0,0,0
11:00:14:341147,0,0,0,0,0,0
11:00:14:346211,0,0,0,0,0,0
11:00:14:351405,0,0,0,0,0,0
11:00:14:356470,0,0,0,0,0,0
11:00:14:361638,0,0,0,0,0,0
11:00:14:366815,0,0,0,0,0,0
11:00:14:371975,0,0,0,0,0,0
11:00:14:377139,0,0,0,0,0,0
11:00:14:382211,0,0,0,0,0,0
11:00:14:387480,0,0,0,0,0,0
11:00:14:392617,0,0,0,0,0,0
11:00:14:397762,0,0,0,0,0,0
11:00:14:403110,0,0,0,0,0,0
11:00:14:408721,0,0,0,0,0,0
11:00:14:413812,0,0,0,0,0,0
11:00:14:418890,0,0,0,0,0,0
11:00:14:424523,0,0,0,0,0,0
11:00:14:430031,0,0,0,0,0,0
11:00:14:435674,0,0,0,0,0,0
11:00:14:441343,0,0,0,0,0,0
11:00:14:446514,0,0,0,0,0,0
11:00:14:452133,0,0,0,0,0,0
11:00:14:457233,0,0,0,0,0,0
11:00:14:462826,0,0,0,0,0,0
11:00:14:468418,0,0,0,0,0,0
11:00:14:474039,0,0,0,0,0,0
11:00:14:479121,0,0,0,0,0,0
11:00:14:484722,0,0,0,0,0,0
11:00:14:490351,0,0,0,0,0,0
