Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
11:01:07:43689,2,-2,-3,-28,7,2,-1,2
11:01:07:59521,2,-2,-3,-28,7,2,-1,2
11:01:07:60127,1,1,1,-9,-11,-9,-3,0
11:01:07:66426,-5,-2,5,29,7,5,0,1
11:01:07:74434,-5,-2,5,29,7,5,0,1
11:01:07:75206,-14,-2,0,-3,-3,-1,-2,0
11:01:07:89140,5,-3,-14,-44,-3,-3,1,-3
11:01:07:96924,5,-3,-14,-44,-3,-3,1,-3
11:01:07:98021,5,7,1,11,8,8,-2,3
11:01:07:103981,-14,-10,-10,-4,-9,-4,-1,-4
11:01:07:119647,-14,-10,-10,-4,-9,-4,-1,-4
11:01:07:120338,-3,-3,0,0,0,-1,0,0
11:01:07:126730,14,6,5,2,2,2,4,7
11:01:07:135029,14,6,5,2,2,2,4,7
11:01:07:135216,-21,-8,5,36,5,-2,-7,-9
11:01:07:148650,2,1,5,14,-9,-5,0,0
11:01:07:156954,2,1,5,14,-9,-5,0,0
11:01:07:157637,-7,0,-4,5,11,10,6,-2
11:01:07:163669,-9,-1,3,24,-1,-4,-1,10
11:01:07:179364,-9,-1,3,24,-1,-4,-1,10
11:01:07:180132,7,-2,-4,-21,-3,-4,-5,0
11:01:07:186128,-1,-1,1,-8,-1,6,-1,-1
11:01:07:194350,-1,-1,1,-8,-1,6,-1,-1
11:01:07:195128,4,-2,-5,3,-8,-7,2,3
11:01:07:208809,-9,-3,0,-28,-11,-10,-9,-11
11:01:07:216858,-9,-3,0,-28,-11,-10,-9,-11
11:01:07:217723,3,-1,-5,-2,-4,-3,2,-3
11:01:07:223784,5,4,0,16,6,3,3,-1
11:01:07:239474,5,4,0,16,6,3,3,-1
11:01:07:240480,0,-1,1,-4,-4,-2,-6,-7
11:01:07:246376,-11,0,1,-8,-7,-1,-1,-3
11:01:07:254697,-11,0,1,-8,-7,-1,-1,-3
11:01:07:255316,5,-3,-2,3,8,5,7,3
11:01:07:269250,9,-4,-5,-3,-2,-4,-6,-8
11:01:07:277526,9,-4,-5,-3,-2,-4,-6,-8
11:01:07:277798,-4,1,-2,-18,-1,-3,1,-2
11:01:07:284297,6,1,2,23,10,6,-3,0
11:01:07:299963,6,1,2,23,10,6,-3,0
11:01:07:300187,1,-5,-1,8,1,-3,-3,2
11:01:07:306796,3,2,-2,3,-5,-6,-3,-14
11:01:07:314881,3,2,-2,3,-5,-6,-3,-14
11:01:07:315261,0,-3,0,-10,-10,-5,0,-1
11:01:07:338148,0,1,0,12,12,2,0,2
11:01:07:338374,0,1,0,12,12,2,0,2
11:01:07:339064,5,4,-4,-12,-5,-6,-1,4
11:01:07:344342,-12,-6,-4,4,-11,-6,-1,-3
11:01:07:359531,-12,-6,-4,4,-11,-6,-1,-3
11:01:07:360336,12,1,2,0,12,4,0,-1
11:01:07:366309,-26,-4,-12,-40,-2,-1,1,-3
11:01:07:374713,-26,-4,-12,-40,-2,-1,1,-3
11:01:07:375261,-2,-1,-5,-17,-11,-3,-4,3
11:01:07:388936,5,9,4,14,7,5,3,4
11:01:07:397548,5,9,4,14,7,5,3,4
11:01:07:397810,-3,-3,-7,-13,2,-2,-3,-7
11:01:07:404278,7,-3,-10,-41,-10,-5,-2,-3
11:01:07:419964,7,-3,-10,-41,-10,-5,-2,-3
11:01:07:420193,4,2,2,11,1,1,0,-1
11:01:07:426471,2,-2,4,19,-2,-6,-6,-2
11:01:07:434451,2,-2,4,19,-2,-6,-6,-2
11:01:07:435180,-2,-2,2,-14,-4,-1,0,-2
11:01:07:448673,-9,-2,2,11,7,5,1,1
11:01:07:456904,-9,-2,2,11,7,5,1,1
11:01:07:457693,4,-4,-2,8,-6,-5,-2,-5
11:01:07:464293,-7,-1,4,18,-1,0,-2,1
11:01:07:479851,-7,-1,4,18,-1,0,-2,1
11:01:07:480303,6,0,6,34,5,2,0,8
11:01:07:486514,10,2,0,5,-9,-3,-1,-3
11:01:07:494639,10,2,0,5,-9,-3,-1,-3
11:01:07:501301,-6,1,-1,-5,-5,-2,-5,1
11:01:07:508883,3,-5,-3,9,-2,-2,2,0
11:01:07:517249,3,-5,-3,9,-2,-2,2,0
11:01:07:517833,0,4,-2,-26,3,2,1,-3
11:01:07:523673,6,-2,-9,-21,-4,-2,1,2
11:01:07:539470,6,-2,-9,-21,-4,-2,1,2
11:01:07:540273,-4,1,1,-2,3,-1,3,6
11:01:07:546300,10,0,-5,-9,-2,-3,-3,1
11:01:07:554476,10,0,-5,-9,-2,-3,-3,1
11:01:07:555328,-6,-2,1,9,-7,-2,4,0
11:01:07:568914,-7,-4,-5,-12,3,6,-2,5
11:01:07:577153,-7,-4,-5,-12,3,6,-2,5
11:01:07:577772,-11,-3,-4,-10,4,5,-5,-10
11:01:07:583743,-8,-4,4,-13,-5,-6,-5,-5
11:01:07:599539,-8,-4,4,-13,-5,-6,-5,-5
11:01:07:600405,-20,2,10,29,6,-1,0,-1
11:01:07:606133,2,-2,4,6,0,-2,1,0
11:01:07:614408,2,-2,4,6,0,-2,1,0
