Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
11:06:32:181623,1,-3,-2,-3,-11,-9,-17,-1
11:06:32:187289,-9,-1,0,0,0,1,-2,-3
11:06:32:203489,-12,-3,-2,0,-1,-1,-2,-1
11:06:32:203724,-12,-3,-2,0,-1,-1,-2,-1
11:06:32:210023,1,-2,-1,-2,-4,-2,-1,-3
11:06:32:217688,14,2,0,0,-2,-2,0,-1
11:06:32:225398,14,2,0,0,-2,-2,0,-1
11:06:32:232655,-12,-4,-1,1,0,-1,-1,-1
11:06:32:240879,3,-4,-2,-2,-2,-2,-1,-2
11:06:32:241378,3,-4,-2,-2,-2,-2,-1,-2
11:06:32:247828,11,-1,-1,0,-1,0,-2,2
11:06:32:271670,-2,-1,-2,-2,-1,-1,-2,0
11:06:32:271921,-2,-1,-2,-2,-1,-1,-2,0
11:06:32:272854,-5,0,-2,-2,-1,-2,-2,-2
11:06:32:277910,-1,-1,-1,0,-2,-1,-2,-3
11:06:32:284832,-1,-1,-1,0,-2,-1,-2,-3
11:06:32:292894,6,1,-2,-3,-2,-2,1,0
11:06:32:300400,-4,-2,0,1,1,-1,0,-1
11:06:32:301290,-4,-2,0,1,1,-1,0,-1
11:06:32:307460,2,-1,-1,1,0,0,-1,0
11:06:32:323489,-13,-1,0,-1,0,-1,-2,-4
11:06:32:323703,-13,-1,0,-1,0,-1,-2,-4
11:06:32:329807,10,4,0,-1,-1,-2,-1,0
11:06:32:337834,1,-4,-2,-1,-1,-3,-2,-2
11:06:32:345408,1,-4,-2,-1,-1,-3,-2,-2
11:06:32:352758,7,0,0,-1,-2,-1,1,0
11:06:32:360647,-1,-1,0,-1,0,-2,0,-1
11:06:32:361491,-1,-1,0,-1,0,-2,0,-1
11:06:32:375365,-5,0,-1,0,0,-1,-1,0
11:06:32:382946,-9,-1,-1,-1,-2,0,0,0
11:06:32:384192,-9,-1,-1,-1,-2,0,0,0
11:06:32:389915,-7,0,-2,-2,-1,-2,1,-1
11:06:32:397266,-1,5,0,-2,0,-2,-3,-2
11:06:32:404872,-1,5,0,-2,0,-2,-3,-2
11:06:32:412333,-23,-3,-1,-1,-2,-1,-1,-4
11:06:32:420511,-23,-3,-1,-1,-2,-1,-1,-4
