Time,FT1,FT2,FT3,FT4,FT5,FT6
11:06:32:180827,0,0,0,0,0,0
11:06:32:185905,0,0,0,0,0,0
11:06:32:191061,0,0,0,0,0,0
11:06:32:196197,0,0,0,0,0,0
11:06:32:201347,0,0,0,0,0,0
11:06:32:206498,0,0,0,0,0,0
11:06:32:211990,0,0,0,0,0,0
11:06:32:217564,0,0,0,0,0,0
11:06:32:222875,0,0,0,0,0,0
11:06:32:228429,0,0,0,0,0,0
11:06:32:233765,0,0,0,0,0,0
11:06:32:239200,0,0,0,0,0,0
11:06:32:244783,0,0,0,0,0,0
11:06:32:250408,0,0,0,0,0,0
11:06:32:256027,0,0,0,0,0,0
11:06:32:261649,0,0,0,0,0,0
11:06:32:267281,0,0,0,0,0,0
11:06:32:272457,0,0,0,0,0,0
11:06:32:277767,0,0,0,0,0,0
11:06:32:282870,0,0,0,0,0,0
11:06:32:287976,0,0,0,0,0,0
11:06:32:293040,0,0,0,0,0,0
11:06:32:298136,0,0,0,0,0,0
11:06:32:303199,0,0,0,0,0,0
11:06:32:308478,0,0,0,0,0,0
11:06:32:313593,0,0,0,0,0,0
11:06:32:318755,0,0,0,0,0,0
11:06:32:323815,0,0,0,0,0,0
11:06:32:329046,0,0,0,0,0,0
11:06:32:334238,0,0,0,0,0,0
11:06:32:339790,0,0,0,0,0,0
11:06:32:345334,0,0,0,0,0,0
11:06:32:350589,0,0,0,0,0,0
11:06:32:355742,0,0,0,0,0,0
11:06:32:360825,0,0,0,0,0,0
11:06:32:365991,0,0,0,0,0,0
11:06:32:371576,0,0,0,0,0,0
11:06:32:377050,0,0,0,0,0,0
11:06:32:382643,0,0,0,0,0,0
11:06:32:387796,0,0,0,0,0,0
11:06:32:393377,0,0,0,0,0,0
11:06:32:398488,0,0,0,0,0,0
11:06:32:403595,0,0,0,0,0,0
11:06:32:409157,0,0,0,0,0,0
11:06:32:414242,0,0,0,0,0,0
11:06:32:419379,0,0,0,0,0,0
11:06:32:424946,0,0,0,0,0,0
11:06:32:430217,0,0,0,0,0,0
11:06:32:435465,0.019,-0.002,0.097,0,0,0
11:06:32:440580,0.041,0.032,-0.033,0.001,0,0
11:06:32:445718,0.076,0.102,-0.383,0.001,0,0.002
11:06:32:450894,0.097,0.126,-0.552,0.001,0,0.004
11:06:32:456062,0.101,0.105,-0.444,0.001,0,0.003
