Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
11:08:04:81708,-6151,-7444,7144,-11143,1986,-523,444,261,-179,94
11:08:04:82618,-6151,-7444,7144,-11143,1986,-523,444,261,-179,94
11:08:04:88899,-6151,-7444,7144,-11143,1986,-523,444,261,-179,94
11:08:04:104672,-6124,-7467,7137,-11147,1998,-513,433,151,-128,45
11:08:04:104874,-6124,-7467,7137,-11147,1998,-513,433,151,-128,45
11:08:04:111113,-6124,-7467,7137,-11147,1998,-513,433,151,-128,45
11:08:04:126854,-6115,-7475,7134,-11149,1967,-528,462,50,-66,13
11:08:04:127580,-6115,-7475,7134,-11149,1967,-528,462,50,-66,13
11:08:04:133693,-6115,-7475,7134,-11149,1967,-528,462,50,-66,13
11:08:04:141760,-6106,-7474,7135,-11153,1925,-554,467,24,-35,23
11:08:04:142521,-6106,-7474,7135,-11153,1925,-554,467,24,-35,23
11:08:04:148476,-6106,-7474,7135,-11153,1925,-554,467,24,-35,23
11:08:04:164347,-6092,-7473,7130,-11165,1921,-531,463,78,-14,58
11:08:04:165091,-6092,-7473,7130,-11165,1921,-531,463,78,-14,58
11:08:04:171335,-6092,-7473,7130,-11165,1921,-531,463,78,-14,58
11:08:04:186452,-6080,-7471,7122,-11178,1937,-498,462,77,10,73
11:08:04:187261,-6080,-7471,7122,-11178,1937,-498,462,77,10,73
11:08:04:193320,-6080,-7471,7122,-11178,1937,-498,462,77,10,73
11:08:04:201732,-6072,-7459,7123,-11190,1940,-540,443,21,46,77
11:08:04:202517,-6072,-7459,7123,-11190,1940,-540,443,21,46,77
11:08:04:216279,-6072,-7459,7123,-11190,1940,-540,443,21,46,77
11:08:04:224714,-6063,-7442,7126,-11204,1928,-580,410,18,77,89
11:08:04:224796,-6063,-7442,7126,-11204,1928,-580,410,18,77,89
11:08:04:230799,-6063,-7442,7126,-11204,1928,-580,410,18,77,89
11:08:04:246868,-6049,-7426,7128,-11221,1913,-599,410,46,78,95
11:08:04:247423,-6049,-7426,7128,-11221,1913,-599,410,46,78,95
11:08:04:253356,-6049,-7426,7128,-11221,1913,-599,410,46,78,95
11:08:04:261682,-6031,-7415,7127,-11238,1885,-607,401,78,54,88
11:08:04:262407,-6031,-7415,7127,-11238,1885,-607,401,78,54,88
11:08:04:276007,-6031,-7415,7127,-11238,1885,-607,401,78,54,88
11:08:04:284198,-6012,-7409,7126,-11253,1854,-584,413,86,20,82
11:08:04:285011,-6012,-7409,7126,-11253,1854,-584,413,86,20,82
11:08:04:291044,-6012,-7409,7126,-11253,1854,-584,413,86,20,82
11:08:04:306941,-5993,-7410,7121,-11266,1822,-571,432,101,-17,61
11:08:04:307476,-5993,-7410,7121,-11266,1822,-571,432,101,-17,61
11:08:04:313888,-5993,-7410,7121,-11266,1822,-571,432,101,-17,61
11:08:04:321547,-5975,-7413,7119,-11274,1816,-579,445,86,-48,37
11:08:04:322583,-5975,-7413,7119,-11274,1816,-579,445,86,-48,37
11:08:04:336427,-5975,-7413,7119,-11274,1816,-579,445,86,-48,37
11:08:04:344405,-5959,-7421,7118,-11279,1842,-599,461,75,-79,16
11:08:04:344872,-5959,-7421,7118,-11279,1842,-599,461,75,-79,16
11:08:04:350947,-5959,-7421,7118,-11279,1842,-599,461,75,-79,16
11:08:04:366672,-5940,-7434,7118,-11280,1861,-615,430,83,-102,2
11:08:04:367666,-5940,-7434,7118,-11280,1861,-615,430,83,-102,2
11:08:04:373850,-5940,-7434,7118,-11280,1861,-615,430,83,-102,2
11:08:04:381759,-5915,-7450,7118,-11283,1866,-632,414,111,-113,11
11:08:04:382535,-5915,-7450,7118,-11283,1866,-632,414,111,-113,11
11:08:04:396400,-5915,-7450,7118,-11283,1866,-632,414,111,-113,11
